FIRST          1000           1
CLOOP          1003           2
ENDFIL         1015           3
EOF            102A           4
THREE          102D           5
ZERO           1030           6
RETADR         1033           7
LENGTH         1036           8
BUFFER         1039           9
RDREC          2039           A
RLOOP          203F           B
EXIT           2057           C
INPUT          205D           D
MAXLEN         205E           E
WRREC          2061           F
WLOOP          2064           10
OUTPUT         2079           11
