<SINGLE_LINE_COMMENT, // Find fibonacci by co-recursion>
<KEY_WORD, int>
<IDENTIFIER, f_odd>
<PUNCTUATOR, (>
<KEY_WORD, int>
<PUNCTUATOR, )>
<PUNCTUATOR, ;>
<KEY_WORD, int>
<IDENTIFIER, f_even>
<PUNCTUATOR, (>
<KEY_WORD, int>
<PUNCTUATOR, )>
<PUNCTUATOR, ;>
<KEY_WORD, int>
<IDENTIFIER, fibonacci>
<PUNCTUATOR, (>
<KEY_WORD, int>
<IDENTIFIER, n>
<PUNCTUATOR, )>
<PUNCTUATOR, {>
<KEY_WORD, return>
<PUNCTUATOR, (>
<IDENTIFIER, n>
<PUNCTUATOR, %>
<INTEGER_CONST, 2>
<PUNCTUATOR, ==>
<INTEGER_CONST, 0>
<PUNCTUATOR, )>
<PUNCTUATOR, ?>
<IDENTIFIER, f_even>
<PUNCTUATOR, (>
<IDENTIFIER, n>
<PUNCTUATOR, )>
<PUNCTUATOR, :>
<IDENTIFIER, f_odd>
<PUNCTUATOR, (>
<IDENTIFIER, n>
<PUNCTUATOR, )>
<PUNCTUATOR, ;>
<PUNCTUATOR, }>
<KEY_WORD, int>
<IDENTIFIER, f_odd>
<PUNCTUATOR, (>
<KEY_WORD, int>
<IDENTIFIER, n>
<PUNCTUATOR, )>
<PUNCTUATOR, {>
<KEY_WORD, return>
<PUNCTUATOR, (>
<IDENTIFIER, n>
<PUNCTUATOR, ==>
<INTEGER_CONST, 1>
<PUNCTUATOR, )>
<PUNCTUATOR, ?>
<INTEGER_CONST, 1>
<PUNCTUATOR, :>
<IDENTIFIER, f_even>
<PUNCTUATOR, (>
<IDENTIFIER, n>
<INTEGER_CONST, -1>
<PUNCTUATOR, )>
<PUNCTUATOR, +>
<IDENTIFIER, f_odd>
<PUNCTUATOR, (>
<IDENTIFIER, n>
<INTEGER_CONST, -2>
<PUNCTUATOR, )>
<PUNCTUATOR, ;>
<PUNCTUATOR, }>
<KEY_WORD, int>
<IDENTIFIER, f_even>
<PUNCTUATOR, (>
<KEY_WORD, int>
<IDENTIFIER, n>
<PUNCTUATOR, )>
<PUNCTUATOR, {>
<KEY_WORD, return>
<PUNCTUATOR, (>
<IDENTIFIER, n>
<PUNCTUATOR, ==>
<INTEGER_CONST, 0>
<PUNCTUATOR, )>
<PUNCTUATOR, ?>
<INTEGER_CONST, 0>
<PUNCTUATOR, :>
<IDENTIFIER, f_odd>
<PUNCTUATOR, (>
<IDENTIFIER, n>
<INTEGER_CONST, -1>
<PUNCTUATOR, )>
<PUNCTUATOR, +>
<IDENTIFIER, f_even>
<PUNCTUATOR, (>
<IDENTIFIER, n>
<INTEGER_CONST, -2>
<PUNCTUATOR, )>
<PUNCTUATOR, ;>
<PUNCTUATOR, }>
<KEY_WORD, int>
<IDENTIFIER, main>
<PUNCTUATOR, (>
<PUNCTUATOR, )>
<PUNCTUATOR, {>
<KEY_WORD, int>
<IDENTIFIER, n>
<PUNCTUATOR, =>
<INTEGER_CONST, 10>
<PUNCTUATOR, ;>
<KEY_WORD, int>
<IDENTIFIER, r>
<PUNCTUATOR, ;>
<IDENTIFIER, r>
<PUNCTUATOR, =>
<IDENTIFIER, fibonacci>
<PUNCTUATOR, (>
<IDENTIFIER, n>
<PUNCTUATOR, )>
<PUNCTUATOR, ;>
<IDENTIFIER, printStr>
<PUNCTUATOR, (>
<STRING_LIT, fibo(>
<PUNCTUATOR, )>
<PUNCTUATOR, ;>
<IDENTIFIER, printInt>
<PUNCTUATOR, (>
<IDENTIFIER, n>
<PUNCTUATOR, )>
<PUNCTUATOR, ;>
<IDENTIFIER, printStr>
<PUNCTUATOR, (>
<STRING_LIT, ) = >
<PUNCTUATOR, )>
<PUNCTUATOR, ;>
<IDENTIFIER, printInt>
<PUNCTUATOR, (>
<IDENTIFIER, r>
<PUNCTUATOR, )>
<PUNCTUATOR, ;>
<KEY_WORD, return>
<INTEGER_CONST, 0>
<PUNCTUATOR, ;>
<PUNCTUATOR, }>
