<MULTCOMMENT, 9, /* Multi-line *comment *** example:
*/>
<SINGLECOMMENT, 8, // Find fibonacci by co-recursion>
<KEYWORD, 1, integer>
<IDENTIFIER, 2, f_odd>
<PUNCTUATOR, 7, (>
<KEYWORD, 1, integer>
<PUNCTUATOR, 7, )>
<PUNCTUATOR, 7, ;>
<KEYWORD, 1, integer>
<IDENTIFIER, 2, f_even>
<PUNCTUATOR, 7, (>
<KEYWORD, 1, integer>
<PUNCTUATOR, 7, )>
<PUNCTUATOR, 7, ;>
<KEYWORD, 1, integer>
<IDENTIFIER, 2, fibonacci>
<PUNCTUATOR, 7, (>
<KEYWORD, 1, integer>
<IDENTIFIER, 2, n>
<PUNCTUATOR, 7, )>
<KEYWORD, 1, begin>
<KEYWORD, 1, return>
<PUNCTUATOR, 7, (>
<IDENTIFIER, 2, n>
<PUNCTUATOR, 7, %>
<INTCONST, 3, 2>
<PUNCTUATOR, 7, ==>
<INTCONST, 3, 0>
<PUNCTUATOR, 7, )>
<PUNCTUATOR, 7, ?>
<IDENTIFIER, 2, f_even>
<PUNCTUATOR, 7, (>
<IDENTIFIER, 2, n>
<PUNCTUATOR, 7, )>
<PUNCTUATOR, 7, :>
<IDENTIFIER, 2, f_odd>
<PUNCTUATOR, 7, (>
<IDENTIFIER, 2, n>
<PUNCTUATOR, 7, )>
<PUNCTUATOR, 7, ;>
<KEYWORD, 1, end>
<KEYWORD, 1, integer>
<IDENTIFIER, 2, f_odd>
<PUNCTUATOR, 7, (>
<KEYWORD, 1, integer>
<IDENTIFIER, 2, n>
<PUNCTUATOR, 7, )>
<KEYWORD, 1, begin>
<KEYWORD, 1, if>
<PUNCTUATOR, 7, (>
<IDENTIFIER, 2, n>
<PUNCTUATOR, 7, ==>
<INTCONST, 3, 1>
<PUNCTUATOR, 7, )>
<KEYWORD, 1, return>
<INTCONST, 3, 1>
<PUNCTUATOR, 7, ;>
<KEYWORD, 1, if>
<PUNCTUATOR, 7, (>
<IDENTIFIER, 2, n>
<PUNCTUATOR, 7, <>
<INTCONST, 3, 1>
<PUNCTUATOR, 7, )>
<KEYWORD, 1, return>
<INTCONST, 3, 0>
<PUNCTUATOR, 7, ;>
<SINGLECOMMENT, 8, // Handling negative numbers or invalid cases>
<KEYWORD, 1, return>
<IDENTIFIER, 2, f_even>
<PUNCTUATOR, 7, (>
<IDENTIFIER, 2, n>
<PUNCTUATOR, 7, ->
<INTCONST, 3, 1>
<PUNCTUATOR, 7, )>
<PUNCTUATOR, 7, +>
<IDENTIFIER, 2, f_odd>
<PUNCTUATOR, 7, (>
<IDENTIFIER, 2, n>
<PUNCTUATOR, 7, ->
<INTCONST, 3, 2>
<PUNCTUATOR, 7, )>
<PUNCTUATOR, 7, ;>
<KEYWORD, 1, end>
<KEYWORD, 1, integer>
<IDENTIFIER, 2, f_even>
<PUNCTUATOR, 7, (>
<KEYWORD, 1, integer>
<IDENTIFIER, 2, n>
<PUNCTUATOR, 7, )>
<KEYWORD, 1, begin>
<KEYWORD, 1, if>
<PUNCTUATOR, 7, (>
<IDENTIFIER, 2, n>
<PUNCTUATOR, 7, ==>
<INTCONST, 3, 0>
<PUNCTUATOR, 7, )>
<KEYWORD, 1, return>
<INTCONST, 3, 0>
<PUNCTUATOR, 7, ;>
<KEYWORD, 1, if>
<PUNCTUATOR, 7, (>
<IDENTIFIER, 2, n>
<PUNCTUATOR, 7, <>
<INTCONST, 3, 0>
<PUNCTUATOR, 7, )>
<KEYWORD, 1, return>
<INTCONST, 3, 0>
<PUNCTUATOR, 7, ;>
<SINGLECOMMENT, 8, // Handling negative numbers or invalid cases>
<KEYWORD, 1, return>
<IDENTIFIER, 2, f_odd>
<PUNCTUATOR, 7, (>
<IDENTIFIER, 2, n>
<PUNCTUATOR, 7, ->
<INTCONST, 3, 1>
<PUNCTUATOR, 7, )>
<PUNCTUATOR, 7, +>
<IDENTIFIER, 2, f_even>
<PUNCTUATOR, 7, (>
<IDENTIFIER, 2, n>
<PUNCTUATOR, 7, ->
<INTCONST, 3, 2>
<PUNCTUATOR, 7, )>
<PUNCTUATOR, 7, ;>
<KEYWORD, 1, end>
<KEYWORD, 1, integer>
<IDENTIFIER, 2, main>
<PUNCTUATOR, 7, (>
<PUNCTUATOR, 7, )>
<KEYWORD, 1, begin>
<KEYWORD, 1, const>
<KEYWORD, 1, integer>
<IDENTIFIER, 2, n>
<PUNCTUATOR, 7, =>
<INTCONST, 3, 10>
<PUNCTUATOR, 7, ;>
<SINGLECOMMENT, 8, // Testing keyword 'const'>
<KEYWORD, 1, integer>
<IDENTIFIER, 2, r>
